Course Code,Course Title
ES 335,"Machine Learning"
ES 404,"Networks and Complex Systems"
ES 615,"Nature Inspired Computing"
ES 627,"Linear Algebra and Computation"
ES 637,"Mathematical Foundations for Computer Vision and Graphics"
ES 645,"Optimization Methods for Machine Learning"
ES 659,"Computer Graphics"
ES 661,"Probabilistic Machine Learning"
ES 666,"Computer Vision"
ES 667,"Deep Learning"
ES 669,"Advanced Computer Architecture and Systems"
ES 670,"Matrix Methods for Signal Processing, Data Science,and Machine Learning"
ES 676,"Classical Information Theory"
ES 301,"Data Structures & Algorithms II"
CS 614,"Advanced Algorithms"
CS 617,"Computational Complexity Theory"
CS 328,"Introduction to Data Science"
CS 327,"Compilers"
CS 332,"Principles of Programming Languages"
CS 431,"Computer and Network Security"
CS 432,"Databases"
CS 434,"Software Engineering and Testing"
CS 435,"Human-Computer Interaction"
CS 615,"Advanced Networks"
CS 616,"Parallel and Distributed Systems"
ES 668,"5G and Beyond"
